what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1320220874592
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320220876588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320220879521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320220882688
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1320220882688
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1320220882688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320220887883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320220908710
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320220908725
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320220964060
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1320220967477
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1320220969318
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1320220969677
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1320220969848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320220969926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320220971408
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1320220972110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320220972890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221038490
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320221038490
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221063733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221357721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221360123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221497795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221570460
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320221571474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221574423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221592768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221601192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221613407
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221613501
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221613563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320221617760
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320221640442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221643562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221651097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221665777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221670238
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221670348
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221670410
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320221672547
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221673811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320221678881
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221680379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320221683374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221686026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221688194
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221688210
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320221690503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221693919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221695979
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1320221695994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1320221695994
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221699707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1320221705120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221750064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221776584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221817784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221846566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221849312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221877704
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221879841
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221880636
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221881323
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1320221885987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221889684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221896829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221903069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221906049
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1320221906049
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1320221906049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221908873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221912445
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221912570
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320221912617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320221915565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320221934722
